"('a', 'd', 's')",9145
"('r', 'd', 'e')",9129
"('n', '\n', 't')",9128
"('\n', 'l', 'i')",9103
"('b', 'a', 'r')",9098
"('r', '\n', 'f')",9071
"('a', 'r', 'a')",9021
"('t', 'e', 't')",9020
"('\n', 's', 'i')",9001
"('n', 'd', 's')",8988
"('i', 'n', 'd')",8986
"('e', 'l', 'l')",8932
"('d', 'r', 'a')",8918
"('s', '\n', 'i')",8917
"('ö', 'r', 'e')",8823
"('k', 't', 'i')",8781
"('l', 'l', 's')",8742
"('n', 'n', 'a')",8737
"('s', 't', 's')",8727
"('t', 'a', 't')",8705
"('t', '\n', 'b')",8693
"('ö', 'f', 'v')",8689
"('r', '\n', 'k')",8672
"('\n', 'f', 'o')",8631
"('t', 'i', 's')",8609
"('h', 't', 'e')",8598
"('e', 'n', 'd')",8574
"('k', 'n', 'i')",8567
"('a', 'r', 'i')",8557
"('ä', 'c', 'k')",8543
"('p', 'r', 'o')",8537
"('ä', 'n', 'd')",8462
"('\n', 'm', 'o')",8420
"('o', 's', 't')",8383
"('k', 't', 'e')",8378
"('\n', 'g', 'e')",8374
"('g', 'r', 'a')",8360
"('\n', 'f', 'a')",8340
"('t', 'r', 'i')",8294
"('r', 'a', 'm')",8233
"('r', 'a', 's')",8224
"('u', 'n', 'g')",8210
"('o', 'n', '\n')",8207
"('d', 'a', '\n')",8188
"('s', '\n', 'e')",8178
"('ä', 's', 't')",8175
"('\n', 't', 'a')",8136
"('s', 'c', 'h')",8126
"('s', '\n', 'n')",8103
"('k', 'a', 'p')",8095
"('h', 'a', 'n')",8065
"('\n', 'd', 'e')",8055
"('e', 'd', 'e')",8038
"('v', 'ä', 'r')",8033
"('a', '\n', 't')",8014
"('s', 'p', 'e')",8000
"('g', 'e', 'l')",7982
"('r', 'i', 'k')",7979
"('a', 'g', 'e')",7965
"('m', 'm', 'e')",7917
"('a', 'p', 'p')",7910
"('\n', 's', 'o')",7896
"('\n', 'h', 'o')",7881
"('\n', 's', 'l')",7877
"('a', 'n', 'n')",7861
"('i', 'g', '\n')",7835
"('a', 's', 's')",7832
"('\n', 'a', 'r')",7828
"('n', 'a', 't')",7817
"('m', 's', '\n')",7788
"('n', '\n', 'a')",7776
"('k', 'l', 'a')",7755
"('r', 'i', 'g')",7754
"('t', 'u', 'r')",7749
"('\n', 'v', 'e')",7717
"('v', 'a', 'n')",7714
"('e', 'r', 'l')",7712
"('\n', 'k', 'l')",7696
"('i', 's', '\n')",7665
"('s', 's', 'a')",7664
"('k', 'a', 'l')",7658
"('ä', 'd', 'e')",7658
"('s', 'a', 'n')",7654
"('u', 'm', '\n')",7654
"('e', 'r', 't')",7648
"('i', 'c', 'k')",7618
"('j', 'e', 'r')",7616
"('y', 'c', 'k')",7610
"('f', 't', 'e')",7609
"('l', 'i', 's')",7554
"('v', 'a', 'l')",7553
"('\n', 'h', 'u')",7536
"('k', 'o', 'm')",7532
"('n', '\n', 'm')",7521
"('e', '\n', 'k')",7512
"('r', 'i', 'e')",7505
"('e', 't', 't')",7476
"('a', '\n', 'a')",7474
"('d', 'a', 'n')",7469
"('a', '\n', 'h')",7467
"('g', 'h', 'e')",7460
"('a', 'c', 'k')",7440
"('\n', 's', 'e')",7433
"('e', 'l', 'i')",7423
"('n', '\n', 'l')",7373
"('n', 'i', 's')",7354
"('t', '\n', 'k')",7325
"('r', 'u', 'n')",7324
